id,email,gender,ip_address,city,country,size,weight,size_numeric,bmi,bmi_category,email_domain,continent,gdp_per_capita
1,cdevey0@e-recht24.de,Female,113.157.3.149,Shilong,China,3XL,95,7,193.87755102040813,,e-recht24.de,Asia,10500.0
2,rjosefovic1@odnoklassniki.ru,Female,46.186.149.59,Oke Iho,Nigeria,2XL,40,6,111.11111111111109,,odnoklassniki.ru,Africa,2000.0
3,mgofford2@weather.com,Female,18.238.189.109,Weibin,China,XL,110,5,440.0,,weather.com,Asia,10500.0
4,mimpson3@ifeng.com,Male,19.61.10.77,Casal Galego,Portugal,M,114,3,1266.6666666666663,,ifeng.com,Europe,23000.0
5,tdarnody4@wunderground.com,Polygender,194.114.48.196,Enskede,Sweden,XS,69,1,6899.999999999999,,wunderground.com,Europe,51000.0
6,cyaxley5@sakura.ne.jp,Male,169.244.140.251,Buutuo,Liberia,S,41,2,1024.9999999999998,,sakura.ne.jp,Africa,700.0
7,sbulger6@ucla.edu,Male,132.137.94.214,Tapiramutá,Brazil,L,112,4,699.9999999999999,,ucla.edu,South America,8750.0
8,bpyzer7@about.com,Female,154.221.100.162,Melun,France,2XL,106,6,294.44444444444434,,about.com,Europe,40000.0
9,rcawkwell8@4shared.com,Female,226.155.78.118,Bitanjuan,Philippines,S,90,2,2249.9999999999995,,4shared.com,Asia,3500.0
10,clavies9@biblegateway.com,Genderfluid,67.254.17.35,Marseille,France,2XL,119,6,330.5555555555555,,biblegateway.com,Europe,40000.0
11,mghenta@cafepress.com,Female,177.234.203.34,Birsa,Indonesia,S,51,2,1274.9999999999998,,cafepress.com,Asia,4000.0
12,cleadstonb@dropbox.com,Female,21.174.243.168,Qingfenglin,China,XS,40,1,3999.999999999999,,dropbox.com,Asia,10500.0
13,mwholesworthc@ucoz.ru,Genderfluid,80.244.239.144,Melaka,Malaysia,L,84,4,524.9999999999999,,ucoz.ru,,
14,koggerd@booking.com,Female,91.174.25.90,Al Manşūrah,Egypt,S,73,2,1824.9999999999995,,booking.com,Africa,3000.0
15,banthonae@hhs.gov,Male,213.167.162.248,Desē,Ethiopia,2XL,63,6,174.99999999999994,,hhs.gov,Africa,1000.0
16,rbatonf@buzzfeed.com,Bigender,42.41.187.98,Aguitu,China,XL,50,5,200.0,,buzzfeed.com,Asia,10500.0
17,cvasnetsovg@4shared.com,Female,226.137.33.172,Korsakovo,Russia,S,76,2,1899.9999999999995,,4shared.com,Europe,11000.0
18,cshitliffh@google.ru,Male,194.239.202.202,Castlebridge,Ireland,S,44,2,1099.9999999999998,,google.ru,Europe,94000.0
19,agodthaabi@geocities.jp,Female,222.112.223.74,Langob,Philippines,XL,80,5,320.0,,geocities.jp,Asia,3500.0
20,gloughheadj@com.com,Female,191.151.50.99,Ganta,Liberia,S,94,2,2349.9999999999995,,com.com,Africa,700.0
21,aharfordk@ehow.com,Male,76.170.253.253,Quibdó,Colombia,XS,83,1,8299.999999999998,,ehow.com,South America,6000.0
22,ftemblettl@alibaba.com,Male,110.170.75.136,Halat,Indonesia,3XL,75,7,153.06122448979588,,alibaba.com,Asia,4000.0
23,rpoonem@rediff.com,Female,236.62.255.148,Oni,Indonesia,3XL,70,7,142.85714285714283,,rediff.com,Asia,4000.0
24,eslatern@quantcast.com,Male,241.99.89.182,Manorhamilton,Ireland,XS,54,1,5399.999999999999,,quantcast.com,Europe,94000.0
25,rickowicso@taobao.com,Female,126.57.232.177,Baru Timur,Indonesia,S,112,2,2799.9999999999995,,taobao.com,Asia,4000.0
26,bworsallsp@hatena.ne.jp,Male,171.125.59.233,Al Jafr,Saudi Arabia,XL,93,5,372.0,,hatena.ne.jp,Asia,23000.0
27,bkiplingq@slashdot.org,Male,128.243.45.170,Hernando,Argentina,XL,62,5,248.0,,slashdot.org,South America,10000.0
28,enormanvellr@apache.org,Male,210.79.3.89,Katumba,Tanzania,L,61,4,381.24999999999994,,apache.org,Africa,1100.0
29,phugonnets@sogou.com,Male,224.97.27.225,Nova Viçosa,Brazil,3XL,107,7,218.36734693877546,,sogou.com,South America,8750.0
30,omcilvorayt@mit.edu,Female,176.79.228.174,Naushki,Russia,L,49,4,306.24999999999994,,mit.edu,Europe,11000.0
31,gduttonu@skyrock.com,Male,61.137.199.149,Pingshan,China,XS,119,1,11899.999999999998,,skyrock.com,Asia,10500.0
32,rshellidayv@about.me,Female,196.18.195.168,Halayhayin,Philippines,2XL,77,6,213.88888888888883,,about.me,Asia,3500.0
33,ksnoxellw@tmall.com,Female,17.83.159.142,Subottsi,Ukraine,S,63,2,1574.9999999999998,,tmall.com,Europe,3700.0
34,dmurneyx@parallels.com,Female,23.40.41.78,Quime,Bolivia,L,41,4,256.24999999999994,,parallels.com,South America,3500.0
35,agatesy@ed.gov,Male,112.27.35.40,Makariv,Ukraine,XL,113,5,452.0,,ed.gov,Europe,3700.0
36,fbeverstockz@squarespace.com,Male,127.83.227.26,Jinli,China,L,54,4,337.49999999999994,,squarespace.com,Asia,10500.0
37,lbruyns10@ibm.com,Male,85.19.138.2,Siding,Indonesia,S,115,2,2874.9999999999995,,ibm.com,Asia,4000.0
38,rhowood11@guardian.co.uk,Female,31.3.60.76,Maopingchang,China,XS,120,1,11999.999999999998,,guardian.co.uk,Asia,10500.0
39,fmccue12@istockphoto.com,Female,6.70.11.108,Miami,United States,XS,116,1,11599.999999999998,,istockphoto.com,North America,65000.0
40,acallis13@usatoday.com,Female,12.3.247.185,Fushui,China,XL,55,5,220.0,,usatoday.com,Asia,10500.0
41,gindruch14@behance.net,Female,30.127.18.141,Kotuń,Poland,L,69,4,431.24999999999994,,behance.net,Europe,15000.0
42,rhuckle15@ucoz.com,Male,65.111.107.120,Uttar Char Fasson,Bangladesh,3XL,88,7,179.59183673469383,,ucoz.com,Asia,2000.0
43,etuffin16@europa.eu,Female,254.83.200.145,Annino,Russia,XL,84,5,336.0,,europa.eu,Europe,11000.0
44,uballoch17@sohu.com,Male,98.63.226.253,Muzi,China,M,52,3,577.7777777777776,,sohu.com,Asia,10500.0
45,mcottingham18@irs.gov,Male,18.246.246.58,Chenzhouzhai,China,L,40,4,249.99999999999994,,irs.gov,Asia,10500.0
46,fsnartt19@posterous.com,Male,247.32.53.199,Łapczyca,Poland,L,59,4,368.74999999999994,,posterous.com,Europe,15000.0
47,cfoulks1a@ucsd.edu,Female,45.179.98.155,Cimanglid,Indonesia,L,50,4,312.49999999999994,,ucsd.edu,Asia,4000.0
48,mgilbert1b@wisc.edu,Female,173.136.39.52,Urasqui,Peru,XL,115,5,460.0,,wisc.edu,South America,6500.0
49,dborgne1c@mayoclinic.com,Male,149.201.199.143,Lubochnia,Poland,2XL,42,6,116.66666666666663,,mayoclinic.com,Europe,15000.0
50,mholsey1d@discuz.net,Female,150.38.201.195,Cabudare,Venezuela,3XL,118,7,240.8163265306122,,discuz.net,South America,3200.0
51,egallymore1e@discovery.com,Female,209.65.21.12,Dalai,China,3XL,113,7,230.61224489795913,,discovery.com,Asia,10500.0
52,mbuchanan1f@phpbb.com,Male,214.39.87.6,Baryshivka,Ukraine,L,98,4,612.4999999999999,,phpbb.com,Europe,3700.0
53,ffreschini1g@jigsy.com,Non-binary,104.23.175.213,Aniso,Peru,3XL,51,7,104.0816326530612,,jigsy.com,South America,6500.0
54,jannets1h@salon.com,Genderfluid,184.65.82.114,Huafeng,China,3XL,42,7,85.7142857142857,Obese,salon.com,Asia,10500.0
55,gswadlinge1i@google.ru,Female,72.76.89.40,Lisovi Sorochyntsi,Ukraine,XS,61,1,6099.999999999999,,google.ru,Europe,3700.0
56,baustins1j@1und1.de,Male,100.235.136.97,Wińsko,Poland,M,99,3,1099.9999999999998,,1und1.de,Europe,15000.0
57,jlaviste1k@yahoo.co.jp,Female,10.48.217.79,Радовиш,Macedonia,3XL,72,7,146.93877551020404,,yahoo.co.jp,Europe,6000.0
58,csouthall1l@auda.org.au,Male,154.2.80.198,Jatipamor,Indonesia,M,49,3,544.4444444444443,,auda.org.au,Asia,4000.0
59,adacre1m@ucsd.edu,Male,8.86.114.24,Dongjie,China,M,68,3,755.5555555555553,,ucsd.edu,Asia,10500.0
60,gstillert1n@yellowbook.com,Female,67.105.171.244,Fenggao,China,3XL,81,7,165.30612244897955,,yellowbook.com,Asia,10500.0
61,cjewes1o@independent.co.uk,Female,236.9.4.59,Nerekhta,Russia,2XL,52,6,144.4444444444444,,independent.co.uk,Europe,11000.0
62,terie1p@tamu.edu,Male,208.36.85.42,Huangjin,China,M,50,3,555.5555555555554,,tamu.edu,Asia,10500.0
63,bdobney1q@ning.com,Female,176.141.99.249,Qīr Moāv,Jordan,XS,51,1,5099.999999999999,,ning.com,,
64,ndominik1r@nasa.gov,Female,151.2.69.29,Lazaro Cardenas,Mexico,XS,62,1,6199.999999999999,,nasa.gov,North America,9000.0
65,dmenpes1s@geocities.com,Male,128.26.201.10,Pyzdry,Poland,XS,49,1,4899.999999999999,,geocities.com,Europe,15000.0
66,hjewers1t@mail.ru,Male,34.180.10.251,Kista,Sweden,L,82,4,512.4999999999999,,mail.ru,Europe,51000.0
67,pgilroy1u@chicagotribune.com,Polygender,241.17.202.34,Cruzeiro,Portugal,XL,63,5,252.0,,chicagotribune.com,Europe,23000.0
68,eferronet1v@auda.org.au,Female,143.93.89.64,Odienné,Ivory Coast,2XL,110,6,305.5555555555555,,auda.org.au,Africa,2300.0
69,jmackett1w@un.org,Female,239.87.33.132,Graikochóri,Greece,2XL,52,6,144.4444444444444,,un.org,Europe,17500.0
70,lkiddle1x@skype.com,Male,246.97.9.251,Talangbetutu,Indonesia,XL,94,5,376.0,,skype.com,Asia,4000.0
71,swatkins1y@squarespace.com,Female,199.151.182.111,Hamm,Germany,XS,100,1,9999.999999999998,,squarespace.com,Europe,46000.0
72,aboshers1z@goodreads.com,Female,155.151.76.62,Newmarket on Fergus,Ireland,M,110,3,1222.222222222222,,goodreads.com,Europe,94000.0
73,adornan20@msn.com,Female,51.45.121.81,Chelopech,Bulgaria,XL,69,5,276.0,,msn.com,Europe,10000.0
74,ahulles21@ebay.com,Female,9.235.182.109,Williston,South Africa,XL,105,5,420.0,,ebay.com,Africa,6000.0
75,cjeays22@edublogs.org,Male,156.10.201.84,Pajagan,Indonesia,S,45,2,1124.9999999999998,,edublogs.org,Asia,4000.0
76,jswann23@com.com,Female,22.61.2.131,Tamel,Portugal,S,65,2,1624.9999999999998,,com.com,Europe,23000.0
77,flegh24@merriam-webster.com,Non-binary,48.157.7.35,Suka Makmue,Indonesia,3XL,105,7,214.28571428571425,,merriam-webster.com,Asia,4000.0
78,jcholerton25@wufoo.com,Female,167.230.0.36,Níkaia,Greece,S,77,2,1924.9999999999995,,wufoo.com,Europe,17500.0
79,trogan26@ted.com,Male,48.173.3.36,Kotovo,Russia,3XL,74,7,151.02040816326527,,ted.com,Europe,11000.0
80,lclemendet27@facebook.com,Bigender,142.103.68.3,Amiens,France,3XL,66,7,134.6938775510204,,facebook.com,Europe,40000.0
81,swatman28@webs.com,Female,135.152.245.135,Sabang,Philippines,2XL,82,6,227.77777777777771,,webs.com,Asia,3500.0
82,apadly29@wikimedia.org,Male,187.1.170.140,Meijiang,China,S,120,2,2999.9999999999995,,wikimedia.org,Asia,10500.0
83,tsergent2a@nsw.gov.au,Female,95.93.237.212,Tulihe,China,2XL,116,6,322.2222222222221,,nsw.gov.au,Asia,10500.0
84,lmoraleda2b@unicef.org,Female,1.190.158.186,Witzenhausen,Germany,2XL,80,6,222.22222222222217,,unicef.org,Europe,46000.0
85,hsango2c@1und1.de,Genderqueer,139.71.167.37,Chaínça,Portugal,S,61,2,1524.9999999999998,,1und1.de,Europe,23000.0
86,ihaywood2d@eepurl.com,Female,85.244.37.236,Las Carreras,Bolivia,2XL,116,6,322.2222222222221,,eepurl.com,South America,3500.0
87,amartini2e@google.fr,Female,244.116.117.241,Camabatela,Angola,XS,80,1,7999.999999999998,,google.fr,Africa,2000.0
88,jsyred2f@cnet.com,Male,146.44.205.118,Bertoua,Cameroon,M,106,3,1177.7777777777774,,cnet.com,Africa,1500.0
89,sambrosetti2g@macromedia.com,Genderfluid,16.77.112.46,Opočno,Czech Republic,M,80,3,888.8888888888887,,macromedia.com,Europe,23000.0
90,varndt2h@cbsnews.com,Male,88.246.71.88,Pondaguitan,Philippines,3XL,41,7,83.67346938775509,Obese,cbsnews.com,Asia,3500.0
91,wdelacote2i@army.mil,Genderfluid,93.92.31.208,Sungai,Philippines,3XL,84,7,171.4285714285714,,army.mil,Asia,3500.0
92,bschottli2j@netlog.com,Female,96.74.62.222,Curiapo,Venezuela,3XL,41,7,83.67346938775509,Obese,netlog.com,South America,3200.0
93,ipigdon2k@t-online.de,Male,36.27.92.113,Qianying,China,XS,60,1,5999.999999999999,,t-online.de,Asia,10500.0
94,wspinage2l@irs.gov,Female,21.250.182.61,Maonon,Philippines,3XL,86,7,175.51020408163262,,irs.gov,Asia,3500.0
95,cgrimsdike2m@dot.gov,Male,63.247.117.191,Stockholm,Sweden,XL,65,5,260.0,,dot.gov,Europe,51000.0
